               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029263,            0.011423,            0.043755,             0.79386,              0.6788,             0.79453,             0.44693,            0.037359,           0.0053166,            0.043996,           0.0032836,           0.0032836,            0.070448
                   1,            0.029933,            0.011252,            0.035659,             0.82636,              0.7305,             0.82974,             0.51971,            0.034391,           0.0053629,            0.034529,           0.0065842,           0.0065842,            0.040415
                   2,            0.032643,             0.01038,            0.032056,             0.60064,             0.79359,             0.77199,             0.41287,            0.037139,           0.0054945,            0.031477,           0.0098517,           0.0098517,            0.010349
                   3,            0.034914,            0.011475,            0.031072,             0.78295,             0.62413,             0.69884,             0.30089,            0.044409,            0.006407,            0.034584,           0.0098515,           0.0098515,           0.0098515
                   4,            0.034208,             0.01179,             0.03067,             0.75228,             0.61631,             0.72164,             0.42788,            0.036372,           0.0053579,            0.033094,           0.0098515,           0.0098515,           0.0098515
                   5,            0.034595,            0.010887,            0.028274,             0.54784,             0.78694,             0.72565,             0.36354,            0.043243,           0.0058634,            0.037839,            0.009802,            0.009802,            0.009802
                   6,            0.034524,            0.011465,            0.028144,              0.6251,             0.62233,             0.70456,             0.38644,            0.037739,           0.0058415,            0.037552,           0.0097525,           0.0097525,           0.0097525
                   7,            0.032684,            0.011374,            0.028177,             0.75168,             0.67058,             0.75491,             0.39972,            0.037224,           0.0059893,            0.034386,            0.009703,            0.009703,            0.009703
                   8,            0.032958,            0.011346,            0.026913,             0.75372,             0.59487,             0.69313,             0.34441,            0.042291,           0.0056805,            0.039118,           0.0096535,           0.0096535,           0.0096535
                   9,            0.032328,            0.010805,            0.023659,             0.76616,             0.61441,             0.69648,             0.41665,            0.037745,           0.0056026,            0.039589,            0.009604,            0.009604,            0.009604
                  10,            0.032497,            0.011213,             0.02502,             0.63839,             0.71703,             0.70097,             0.34436,            0.043079,           0.0058079,            0.031796,           0.0095545,           0.0095545,           0.0095545
                  11,            0.032543,            0.010891,            0.022677,             0.84035,             0.64703,             0.77734,             0.36354,            0.044461,           0.0060271,            0.032174,            0.009505,            0.009505,            0.009505
                  12,              0.0322,             0.01068,            0.021865,              0.8479,             0.69787,             0.78423,             0.38962,            0.041747,           0.0060534,            0.030574,           0.0094555,           0.0094555,           0.0094555
                  13,            0.031991,            0.010676,            0.021672,             0.71896,             0.68702,             0.77653,             0.38097,            0.043276,            0.005909,            0.035621,            0.009406,            0.009406,            0.009406
                  14,            0.032104,            0.010669,            0.018957,             0.81656,             0.73769,             0.83992,             0.43953,            0.039194,           0.0058017,            0.029072,           0.0093565,           0.0093565,           0.0093565
                  15,            0.031661,            0.010745,            0.018959,             0.92685,             0.66318,             0.83394,             0.46188,             0.03801,           0.0053888,            0.028207,            0.009307,            0.009307,            0.009307
                  16,            0.031934,            0.010642,            0.016852,             0.89572,             0.70195,             0.81772,             0.44068,            0.037675,            0.005693,            0.024776,           0.0092575,           0.0092575,           0.0092575
                  17,            0.031093,            0.010169,            0.016637,             0.84332,             0.72877,             0.81301,             0.38416,            0.042937,           0.0057192,            0.025665,            0.009208,            0.009208,            0.009208
                  18,            0.032237,            0.010283,            0.015915,             0.82562,             0.74917,             0.78703,             0.48695,            0.034889,           0.0056591,            0.027499,           0.0091585,           0.0091585,           0.0091585
                  19,            0.030823,            0.010262,            0.016251,             0.79387,             0.75848,             0.87349,             0.51137,            0.040897,           0.0057873,            0.033338,            0.009109,            0.009109,            0.009109
                  20,            0.030166,            0.010081,            0.014851,             0.75883,             0.76198,             0.85077,             0.48446,              0.0364,           0.0054617,            0.029603,           0.0090595,           0.0090595,           0.0090595
                  21,            0.031341,            0.010291,            0.014039,             0.83402,             0.67555,             0.83753,              0.4634,            0.040226,             0.00597,            0.026078,             0.00901,             0.00901,             0.00901
                  22,            0.030226,            0.010011,            0.013634,             0.66804,             0.86007,             0.85983,             0.50336,             0.03716,            0.005476,            0.029282,           0.0089605,           0.0089605,           0.0089605
                  23,                0.03,           0.0099277,            0.014331,             0.76032,             0.79103,             0.80163,             0.48588,            0.037925,           0.0054342,            0.035823,            0.008911,            0.008911,            0.008911
                  24,            0.029426,           0.0098588,            0.013364,             0.88991,              0.7041,             0.90322,             0.48345,            0.040227,           0.0056508,            0.027515,           0.0088615,           0.0088615,           0.0088615
                  25,            0.030642,           0.0098851,            0.012924,             0.86303,             0.70475,             0.86706,              0.4884,            0.036986,           0.0053905,            0.023498,            0.008812,            0.008812,            0.008812
                  26,            0.029751,            0.010032,            0.013017,              0.7977,             0.81198,             0.89113,             0.50502,            0.037175,           0.0055395,            0.024538,           0.0087625,           0.0087625,           0.0087625
                  27,            0.029385,           0.0096976,            0.011729,             0.77463,              0.6767,             0.87398,             0.41609,            0.040567,           0.0055836,            0.034675,            0.008713,            0.008713,            0.008713
                  28,            0.028787,           0.0098648,             0.01125,             0.64783,             0.84509,             0.87826,             0.50695,            0.038376,           0.0062233,            0.032963,           0.0086635,           0.0086635,           0.0086635
                  29,            0.028926,           0.0098565,            0.012113,             0.84576,             0.68705,             0.85303,             0.52264,            0.035691,           0.0063327,            0.032937,            0.008614,            0.008614,            0.008614
