user_id,movieId,rating,title
Леша,1198,5.0,Raiders of the Lost Ark (1981)
Леша,1210,4.0,Return of the Jedi (1983)
Леша,1291,4.5,Indiana Jones and the Last Crusade (1989)
Леша,2571,5.0,The Matrix (1999)
Леша,3793,4.0,X-Men (2000)
Леша,3977,3.0,Charlie's Angels (2000)
Леша,4370,4.5,A.I. Artificial Intelligence (2001)
Леша,4886,5.0,"Monsters, Inc. (2001)"
Леша,4896,4.0,Harry Potter and the Philosopher's Stone (2001)
Леша,4963,4.0,Ocean's Eleven (2001)
Леша,4973,3.0,Amélie (2001)
Леша,4993,4.0,The Lord of the Rings: The Fellowship of the Ring (2001)
Леша,4995,5.0,A Beautiful Mind (2001)
Леша,5349,4.0,Spider-Man (2002)
Леша,5378,3.5,Star Wars: Episode II - Attack of the Clones (2002)
Леша,5418,4.5,The Bourne Identity (2002)
Леша,5952,3.0,The Lord of the Rings: The Two Towers (2002)
Леша,5995,4.5,The Pianist (2002)
Леша,6333,3.5,X2 (2003)
Леша,6365,3.5,The Matrix Reloaded (2003)
Леша,6502,3.5,28 Days Later (2002)
Леша,6874,4.5,Kill Bill: Vol. 1 (2003)
Леша,6942,4.0,Love Actually (2003)
Леша,7153,2.5,The Lord of the Rings: The Return of the King (2003)
Леша,7438,4.5,Kill Bill: Vol. 2 (2004)
Леша,8665,4.5,The Bourne Supremacy (2004)
Леша,8961,4.0,The Incredibles (2004)
Леша,30707,4.5,Million Dollar Baby (2004)
Леша,33679,4.0,Mr. & Mrs. Smith (2005)
Леша,33794,3.5,Batman Begins (2005)
Леша,40815,4.0,Harry Potter and the Goblet of Fire (2005)
Леша,44191,3.5,V for Vendetta (2006)
Леша,48385,5.0,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
Леша,48774,4.0,Children of Men (2006)
Леша,49272,5.0,Casino Royale (2006)
Леша,54001,4.0,Harry Potter and the Order of the Phoenix (2007)
Леша,58559,4.5,The Dark Knight (2008)
Леша,59315,4.5,Iron Man (2008)
Леша,64614,4.5,Gran Torino (2008)
Леша,68157,5.0,Inglourious Basterds (2009)
Леша,69122,4.5,The Hangover (2009)
Леша,69844,3.5,Harry Potter and the Half-Blood Prince (2009)
Леша,72998,5.0,Avatar (2009)
Леша,81591,3.5,Black Swan (2010)
Леша,81834,3.5,Harry Potter and the Deathly Hallows: Part 1 (2010)
Леша,89745,4.5,The Avengers (2012)
Леша,92259,5.0,The Intouchables (2011)
Леша,104841,4.0,Gravity (2013)
Леша,106782,5.0,The Wolf of Wall Street (2013)
Леша,109374,5.0,The Grand Budapest Hotel (2014)
Леша,109487,5.0,Interstellar (2014)
Леша,111759,5.0,Edge of Tomorrow (2014)
Леша,112852,3.5,Guardians of the Galaxy (2014)
Леша,122882,3.5,Mad Max: Fury Road (2015)
Леша,122904,5.0,Deadpool (2016)
Леша,122912,4.0,Avengers: Infinity War (2018)
Леша,134130,4.0,The Martian (2015)
Леша,164179,3.5,Arrival (2016)
Леша,254726,4.0,Dune (2021)
Валера,19,2.0,Ace Ventura: When Nature Calls (1995)
Валера,70,3.5,From Dusk Till Dawn (1996)
Валера,296,5.0,Pulp Fiction (1994)
Валера,356,3.5,Forrest Gump (1994)
Валера,608,3.5,Fargo (1996)
Валера,1089,3.5,Reservoir Dogs (1992)
Валера,1682,5.0,The Truman Show (1998)
Валера,1961,5.0,Rain Man (1988)
Валера,2329,5.0,American History X (1998)
Валера,2959,3.5,Fight Club (1999)
Валера,3275,5.0,The Boondock Saints (1999)
Валера,3535,4.0,American Psycho (2000)
Валера,3949,3.0,Requiem for a Dream (2000)
Валера,4886,5.0,"Monsters, Inc. (2001)"
Валера,4993,2.5,The Lord of the Rings: The Fellowship of the Ring (2001)
Валера,5218,4.5,Ice Age (2002)
Валера,5618,5.0,Spirited Away (2001)
Валера,6502,4.5,28 Days Later (2002)
Валера,7153,2.5,The Lord of the Rings: The Return of the King (2003)
Валера,7438,3.5,Kill Bill: Vol. 2 (2004)
Валера,7445,2.0,Man on Fire (2004)
Валера,7454,3.5,Van Helsing (2004)
Валера,8529,4.0,The Terminal (2004)
Валера,8950,4.0,The Machinist (2004)
Валера,8957,4.5,Saw (2004)
Валера,32587,5.0,Sin City (2005)
Валера,44191,3.0,V for Vendetta (2006)
Валера,48385,5.0,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
Валера,51540,3.0,Zodiac (2007)
Валера,53519,2.0,Death Proof (2007)
Валера,56757,5.0,Sweeney Todd: The Demon Barber of Fleet Street (2007)
Валера,68157,4.0,Inglourious Basterds (2009)
Валера,69122,3.0,The Hangover (2009)
Валера,71379,1.0,Paranormal Activity (2007)
Валера,73321,3.0,The Book of Eli (2010)
Валера,74458,2.0,Shutter Island (2010)
Валера,78088,0.5,Buried (2010)
Валера,93840,3.5,The Cabin in the Woods (2012)
Валера,94677,5.0,The Dictator (2012)
Валера,99114,4.0,Django Unchained (2012)
Валера,102407,4.0,The Great Gatsby (2013)
Валера,103186,2.5,Wedding Trough (1974)
Валера,106782,5.0,The Wolf of Wall Street (2013)
Валера,112515,2.0,The Babadook (2014)
Валера,122904,1.5,Deadpool (2016)
Валера,139385,2.0,The Revenant (2015)
Валера,163134,4.5,Your Name. (2016)
Валера,167640,1.0,A Cure for Wellness (2017)
Валера,176419,0.5,mother! (2017)
Валера,193147,5.0,The House That Jack Built (2018)
Валера,204698,4.0,Joker (2019)
Валера,204704,2.5,Ready or Not (2019)
Валера,206246,4.5,The Platform (2019)
Саша,50,3.0,The Usual Suspects (1995)
Саша,153,1.0,Batman Forever (1995)
Саша,318,5.0,The Shawshank Redemption (1994)
Саша,356,4.0,Forrest Gump (1994)
Саша,858,3.0,The Godfather (1972)
Саша,1089,5.0,Reservoir Dogs (1992)
Саша,1729,5.0,Jackie Brown (1997)
Саша,2028,4.0,Saving Private Ryan (1998)
Саша,2329,4.0,American History X (1998)
Саша,2542,4.0,"Lock, Stock and Two Smoking Barrels (1998)"
Саша,2571,3.5,The Matrix (1999)
Саша,2959,5.0,Fight Club (1999)
Саша,3578,4.0,Gladiator (2000)
Саша,4011,5.0,Snatch (2000)
Саша,4993,4.0,The Lord of the Rings: The Fellowship of the Ring (2001)
Саша,5459,2.0,Men in Black II (2002)
Саша,27773,1.0,Oldboy (2003)
Саша,37731,3.0,Green Street Hooligans (2005)
Саша,38388,4.0,Goal! (2005)
Саша,40148,4.0,Revolver (2005)
Саша,45186,1.0,Mission: Impossible III (2006)
Саша,45720,1.0,The Devil Wears Prada (2006)
Саша,46530,1.0,Superman Returns (2006)
Саша,56775,0.5,National Treasure: Book of Secrets (2007)
Саша,60074,1.0,Hancock (2008)
Саша,62849,5.0,RockNRolla (2008)
Саша,68157,5.0,Inglourious Basterds (2009)
Саша,74458,4.0,Shutter Island (2010)
Саша,99114,4.0,Django Unchained (2012)
Саша,122910,0.5,Captain Marvel (2019)
Саша,128360,5.0,The Hateful Eight (2015)
Саша,129514,4.0,George Carlin: It's Bad for Ya! (2008)
Саша,165859,0.5,Marvel One-Shot: The Consultant (2011)
Саша,195159,1.0,Spider-Man: Into the Spider-Verse (2018)
Саша,202429,5.0,Once Upon a Time… in Hollywood (2019)
Саша,210861,4.0,The Gentlemen (2019)
Саша,237288,0.5,Marvelous (2008)
Саша,263007,1.0,Spider-Man: No Way Home (2021)
Саня,1,2.5,Toy Story (1995)
Саня,296,5.0,Pulp Fiction (1994)
Саня,480,4.0,Jurassic Park (1993)
Саня,527,5.0,Schindler's List (1993)
Саня,589,4.0,Terminator 2: Judgment Day (1991)
Саня,648,3.0,Mission: Impossible (1996)
Саня,733,4.5,The Rock (1996)
Саня,1405,4.0,Beavis and Butt-Head Do America (1996)
Саня,1573,4.0,Face/Off (1997)
Саня,1645,3.5,The Devil's Advocate (1997)
Саня,1721,3.5,Titanic (1997)
Саня,1882,3.5,Godzilla (1998)
Саня,2490,5.0,Payback (1999)
Саня,2542,5.0,"Lock, Stock and Two Smoking Barrels (1998)"
Саня,2628,1.0,Star Wars: Episode I - The Phantom Menace (1999)
Саня,2700,5.0,"South Park: Bigger, Longer & Uncut (1999)"
Саня,2985,4.0,RoboCop (1987)
Саня,3578,2.5,Gladiator (2000)
Саня,3623,5.0,Mission: Impossible II (2000)
Саня,3717,5.0,Gone in Sixty Seconds (2000)
Саня,4223,5.0,Enemy at the Gates (2001)
Саня,4369,2.5,The Fast and the Furious (2001)
Саня,4896,2.5,Harry Potter and the Philosopher's Stone (2001)
Саня,4993,2.0,The Lord of the Rings: The Fellowship of the Ring (2001)
Саня,5785,5.0,Jackass: The Movie (2002)
Саня,6378,5.0,The Italian Job (2003)
Саня,6383,4.5,2 Fast 2 Furious (2003)
Саня,6539,0.5,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Саня,6957,4.5,Bad Santa (2003)
Саня,8957,4.5,Saw (2004)
Саня,8972,4.5,National Treasure (2004)
Саня,32031,4.0,Robots (2005)
Саня,34048,3.0,War of the Worlds (2005)
Саня,39446,4.0,Saw II (2005)
Саня,42385,4.0,Yamakasi (2001)
Саня,44665,5.0,Lucky Number Slevin (2006)
Саня,45186,4.0,Mission: Impossible III (2006)
Саня,45722,0.5,Pirates of the Caribbean: Dead Man's Chest (2006)
Саня,48385,5.0,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
